,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
9938,26760,1,blkTestCatAAp,58,1,1800,Approach,1,877,Implicit,s.e0d652fa-62fc-48b2-9d0e-1accc229a031.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1051,R_2zdSUBOgxtUb9Nz,43,Female,Female,Black or African American alone,Absolutely not true,Liberal,27260,Other,qv28BSms4J,90,2,6.0,4,2,All,All,75,5,3.0,2,All,None,None,3,4,5,4,5,3,4,5,2,5,4,3,4,2,5,3,4,5,2,5,No,I had fun playing the game and noticed most of them were what I would consider African American names.,yes,0.925,black,female,9383.0,5354.0,8321.0,6834.0,9061.0,5113.0,8643.0,7075.0,938.3,594.8888888888889,924.5555555555555,759.3333333333334,1006.7777777777778,568.1111111111111,864.3,786.1111111111111,5.0,4.75,3.25,3.75,2.5
9975,26860,1,blkTestCatAAp,33,2,1300,Avoid,1,1363,Implicit,s.f8486cff-dfa2-4d76-b625-8f46b7df9542.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1143,R_12DowRYWkaYJRhS,29,Female,Female,Black or African American alone,Absolutely not true,Moderate,22079,Other,S9F88mN3KD,90,2,6.0,5,4,5,5,81,3,6.0,4,5,4,3,2,5,4,2,4,5,5,5,3,4,3,4,4,2,4,4,5,5,5,5,no,no,yes,1.0,white,male,13411.0,14832.0,12911.0,10701.0,12723.0,13141.0,13599.0,12392.0,1341.1,1483.2,1291.1,1070.1,1272.3,1314.1,1359.9,1239.2,4.25,4.5,3.5,4.75,3.0
10015,26960,1,blkTestCatAAp,47,2,1200,Avoid,1,1130,Implicit,s.40f5035c-9fe6-4604-aeb4-ee8227b2c84c.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1105,R_27kGys5XBSVLtyc,68,Female,Female,Black or African American alone,Absolutely not true,Moderate,44718,Other,PK4tALKYKm,100,2,6.0,2,None,5,5,70,4,5.0,5,5,2,2,3,4,4,2,4,4,4,4,2,3,4,3,4,2,3,4,4,4,2,4,No,No,yes,1.0,black,male,8633.0,10609.0,9127.0,10281.0,8899.0,10377.0,8861.0,10513.0,863.3,1060.9,912.7,1028.1,889.9,1037.7,886.1,1051.3,3.5,4.0,3.75,3.75,2.0
10055,27060,1,blkTestCatAAp,54,1,1500,Approach,1,1729,Implicit,s.e94191bf-ce94-4fc9-a908-e539b114438d.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,837,R_1OTcFDohIrb2mJo,18,Gender Variant-Non-Conforming,Female,Black or African American alone,Absolutely not true,Liberal,22812,Prefer not to say,WQnnTdKxsD,49,5,3.0,All,All,3,None,50,2,3.0,None,None,4,None,3,4,4,5,5,1,3,3,3,4,4,4,4,5,3,2,3,3,4,4,Nothing was unclear,I do not have any additional comments,yes,0.95,black,male,6710.0,6239.0,5875.0,14759.0,8080.0,11996.0,4505.0,9002.0,745.5555555555555,623.9,652.7777777777778,1475.9,808.0,1199.6,563.125,900.2,4.0,3.5,2.5,3.5,4.25
10093,27160,1,blkTestCatAAp,49,2,1300,Avoid,1,648,Implicit,s.6949b2e8-d7a9-47a4-b588-1e80377a77a8.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,988,R_POhWtYJxkw2RghH,41,Female,Female,Black or African American alone,Absolutely not true,Moderate,45385,Other,E8ZxrZPyJE,20,5,3.0,None,None,5,None,40,5,7.0,None,None,4,All,2,4,1,4,4,2,4,5,3,2,1,3,4,1,2,1,3,4,4,3,It was all clear,none,yes,0.975,black,male,6102.0,5432.0,6257.0,7293.0,6023.0,6799.0,6336.0,5926.0,610.2,603.5555555555555,625.7,729.3,602.3,679.9,633.6,658.4444444444445,2.75,3.5,1.5,3.5,3.0
10132,27260,1,blkTestCatAAp,56,1,1800,Approach,1,1864,Implicit,s.0c316aaf-c861-4a0a-bba8-172e5ccffb31.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1862,R_BymzsnH016YVXO1,81,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,21234,Other,re7G2V8cB9,81,2,6.0,All,5,5,5,60,2,6.0,5,5,5,5,3,4,4,4,4,3,4,4,2,4,3,4,4,3,4,3,4,4,4,4,Some of the questions were confusing.,,yes,0.925,black,female,23752.0,22806.0,25510.0,16843.0,22902.0,21166.0,26360.0,18483.0,2639.1111111111113,2280.6,3188.75,1684.3,2544.6666666666665,2116.6,3295.0,1848.3,4.0,4.0,3.0,4.0,3.25
10169,27360,1,blkTestCatAAp,48,1,1800,Approach,1,650,Implicit,s.eb4f90d3-13b7-4d91-a795-7fdfd4c125bb.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1265,R_10UfezlFuG8lQQm,51,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,30339,Other,BMC7Z3Z8rO,51,2,6.0,4,4,3,2,51,2,5.0,4,4,4,None,2,4,3,4,3,1,3,4,3,3,2,3,3,4,3,2,3,3,4,2,no,more interesting than most,yes,1.0,black,male,7952.0,8395.0,7371.0,8666.0,7182.0,9520.0,8141.0,7541.0,795.2,839.5,737.1,866.6,718.2,952.0,814.1,754.1,2.75,3.25,1.75,3.25,3.75
10209,27460,1,blkTestCatAAp,43,2,1900,Avoid,1,2777,Implicit,s.faf20c58-f5e4-45f8-a46f-51b9489d846a.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,889,R_2eV7ZwQDFWfbv7a,24,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,37042,Other,WuUg9QaZHN,100,1,7.0,All,All,All,None,100,2,6.0,All,All,All,5,2,5,2,3,4,1,1,2,2,5,2,5,3,4,5,2,2,2,4,4,Nothing was unclear and it was a nice quiz.,I had a great time and I hope you guys had good intentions.,yes,0.95,white,female,6322.0,5109.0,6114.0,8578.0,6103.0,5244.0,6333.0,8443.0,632.2,510.9,764.25,857.8,678.1111111111111,524.4,703.6666666666666,844.3,4.5,2.25,1.75,3.25,3.25
10247,27560,1,blkTestCatAAp,43,2,1300,Avoid,1,1569,Implicit,s.5533a445-b24a-4737-8822-e7b4233fa4d0.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1060,R_2c1MaYfPrJCTavI,56,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,31063,Agriculture,HtPT46prHs,96,1,7.0,5,2,All,4,90,2,6.0,5,5,5,5,3,4,4,3,4,3,4,3,2,2,3,3,4,3,3,3,3,3,2,3,no  not that i know of,none,yes,0.575,white,female,3334.0,13877.0,11837.0,16522.0,6355.0,15181.0,8816.0,15218.0,1111.3333333333333,2312.8333333333335,1691.0,2360.285714285714,1271.0,2530.1666666666665,1763.2,2174.0,3.0,3.5,3.0,3.5,2.5
10270,27660,1,blkTestCatAAp,27,2,1000,Avoid,1,1285,Implicit,s.06b90ad4-9983-4b8a-90c5-b654c748e576.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1247,R_2Cp0Y8W5BELitLg,71,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,85373,Other,SMmBAJPBLs,71,1,5.0,2,3,3,None,72,1,5.0,All,All,All,All,2,4,3,2,2,2,3,4,2,4,2,3,4,2,4,2,3,4,2,3,It was clear.,It was interesting because it was different.,yes,0.975,white,male,8984.0,9526.0,7919.0,11204.0,8069.0,9996.0,8834.0,10734.0,898.4,952.6,879.8888888888889,1120.4,806.9,999.6,981.5555555555555,1073.4,3.25,3.75,2.0,3.25,2.0
10309,27760,1,blkTestCatAAp,58,1,1200,Approach,1,1088,Implicit,s.b4e242fb-c46b-44fc-a9ef-d669024827b2.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1013,R_12x1k4ddangJBjf,67,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,23503,Other,yqsr99aPwW,90,3,7.0,3,All,All,4,90,3,5.0,4,3,5,5,2,5,3,2,3,2,4,2,2,2,2,4,4,3,3,2,5,3,5,4,A bit unsure of the options for race. It is not so cut and dry,None,yes,0.975,black,female,6114.0,7751.0,8161.0,10955.0,6625.0,10405.0,7650.0,8301.0,679.3333333333334,775.1,816.1,1095.5,736.1111111111111,1040.5,765.0,830.1,3.0,3.0,2.0,4.5,3.0
10348,27860,1,blkTestCatAAp,39,2,1500,Avoid,1,1308,Implicit,s.c2bea3cb-879f-474d-b284-8e8167070047.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1224,R_1GKsRTYY0kEVHnZ,78,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,98663,Other,TW2LVT3KuJ,50,1,5.0,None,None,None,None,83,1,7.0,All,5,All,All,3,5,1,4,4,2,4,1,2,5,2,4,3,4,5,3,4,4,5,5,Nothing was unclear.,,yes,1.0,white,female,11626.0,12386.0,10999.0,13846.0,10933.0,13199.0,11692.0,13033.0,1162.6,1238.6,1099.9,1384.6,1093.3,1319.9,1169.2,1303.3,4.75,2.25,2.5,4.25,3.75
10388,27975,1,blkTestCatAAp,58,1,2000,Approach,1,115,Implicit,s.eaa15f4d-d4df-482a-b07a-8ac000bb3f07.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1039,R_3jSyveix3HsR031,70,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,76248,Prefer not to say,pmdnNpUjWJ,81,1,6.0,None,None,None,None,81,6,5.0,All,4,All,All,4,5,5,3,4,5,4,5,3,2,3,4,5,2,4,4,5,5,2,4,the mechanical test took some figuring out and it was the 'stress' of trying to do it quick vs accurately that bothered me,I had a black roommate in college & have worked with people of color all my professional life & have absolutely no issues with a person's skin color ... just be professional in your job and get it done ,yes,0.1,black,female,1154.0,0.0,343.0,0.0,343.0,0.0,1154.0,0.0,577.0,0.0,171.5,0.0,171.5,0.0,577.0,0.0,3.5,5.0,4.0,4.5,2.5
10392,28060,1,blkTestCatAAp,36,1,2000,Approach,1,500,Implicit,s.449126fd-588c-473c-a1e9-e4c0d03377f3.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,932,R_3MGW0X7yPBKcCYc,32,Male,Male,Black or African American alone,Absolutely not true,Moderate,20886,Information services,LAxfwTEqh9,65,4,4.0,2,3,2,2,63,3,4.0,3,4,3,3,5,5,5,3,4,4,4,5,1,4,5,5,5,1,5,4,5,5,4,4,nothing really,,yes,0.275,white,female,2328.0,1107.0,979.0,1730.0,2807.0,1221.0,500.0,1616.0,582.0,553.5,489.5,576.6666666666666,561.4,610.5,500.0,538.6666666666666,4.25,5.0,4.5,4.75,2.25
10403,28160,1,blkTestCatAAp,39,2,800,Avoid,1,873,Implicit,s.13ce8280-a4bf-40d3-9bc6-d6f2e0919f48.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,860,R_55RFkm9oVUVHCmt,71,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,80403,Other,feEstaGFOP,50,3,6.0,3,3,4,3,50,3,6.0,4,4,4,4,2,4,4,2,4,2,4,4,2,4,3,3,4,2,4,3,4,4,2,4,Nothing,,yes,1.0,white,female,7977.0,11225.0,7827.0,7949.0,7171.0,8453.0,8633.0,10721.0,797.7,1122.5,782.7,794.9,717.1,845.3,863.3,1072.1,4.0,4.0,2.5,3.75,2.0
10443,28260,1,blkTestCatAAp,26,1,800,Approach,1,777,Implicit,s.4e35261a-77c9-485e-835f-b1ab34c0964e.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1247,R_3njyrA3X9CtFmeJ,76,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,15227,Other,Qb6MbnV3JH,37,1,,2,3,2,3,64,5,6.0,All,All,All,5,2,3,4,1,5,2,3,4,2,5,4,3,2,1,5,4,3,4,2,5,THE INITIAL INSTRUCTIONS ABOUT NAMES WAS NOT CLEAR UNTIL i REALIZED THE NAMES DON'T MEAN ANYTHING; ONLY THE COLORS.,"THE QUESTIONS ABOUT NEIGHBORS, ETC. COULD BE EXPLAINED BETTER.",yes,0.975,white,male,5394.0,5993.0,6533.0,6857.0,6001.0,6626.0,5926.0,6224.0,539.4,665.8888888888889,653.3,685.7,600.1,662.6,592.6,691.5555555555555,5.0,3.5,3.0,3.0,1.5
10482,28361,1,blkTestCatAAp,38,1,1600,Approach,1,326,Implicit,s.a7ea9ea2-1641-4958-b8d7-e110c614a53b.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,659,R_2qeZobHbsUMgdAO,27,Male,Male,Black or African American alone,Absolutely not true,Moderate,32208,Other,4LPLK2merR,85,2,6.0,All,5,All,None,86,1,6.0,None,2,None,None,5,4,4,4,5,3,4,3,1,2,4,4,4,1,5,3,2,5,4,5,No,No,yes,0.075,white,female,628.0,0.0,326.0,570.0,628.0,0.0,326.0,570.0,628.0,0.0,326.0,570.0,628.0,0.0,326.0,570.0,4.25,4.0,3.75,3.5,2.5
10485,28460,1,blkTestCatAAp,47,2,900,Avoid,1,680,Implicit,s.3982f85b-2af9-4728-ab67-cdf4af78f551.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,744,R_2aDdUxPj2VKpo88,19,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,43617,Prefer not to say,46cu88GQLb,75,3,5.0,2,2,2,3,75,3,5.0,5,5,5,4,2,4,3,3,4,3,4,2,2,4,3,3,4,3,4,2,4,4,2,4,No,This was a novel experience that I enjoyed.,yes,1.0,black,male,6061.0,7517.0,7497.0,7124.0,6665.0,7820.0,6893.0,6821.0,606.1,751.7,749.7,712.4,666.5,782.0,689.3,682.1,4.0,3.25,2.5,3.75,2.5
10525,28560,1,blkTestCatAAp,28,1,1300,Approach,1,532,Implicit,s.1f8d7bd7-1320-4b7d-9c9c-1fd3273d544a.txt,Names_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,681,R_a4SxdIZqaGBMetP,34,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,77433,Other,7KBs67fdx7,22,5,4.0,5,5,3,None,73,4,4.0,All,All,All,5,1,2,5,1,3,3,2,5,2,3,1,1,5,2,5,3,2,5,2,4,no,no,yes,1.0,white,male,7147.0,7317.0,6345.0,7159.0,7037.0,7178.0,6455.0,7298.0,714.7,731.7,634.5,715.9,703.7,717.8,645.5,729.8,3.75,5.0,2.0,1.75,1.75
10565,28610,1,blkTestCatAAp,55,2,1700,Avoid,1,768,Explicit,s.2e503ad8-9e1b-4bf8-a67b-a81c8286333e.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1156,R_2dXrPCMaMAFaNRb,41,Female,Female,Black or African American alone,Absolutely not true,Moderate,35226,Other,tAVcJ9UQMZ,83,2,6.0,All,All,4,4,50,2,4.0,3,3,3,2,2,5,3,4,5,2,4,4,3,4,2,4,4,2,5,2,4,4,4,4,Nothing was unclear,no further comment,,0.85,black,male,8538.0,12831.0,4414.0,6786.0,0.0,19617.0,12952.0,0.0,948.6666666666666,1283.1,882.8,678.6,0.0,980.85,925.1428571428571,0.0,4.5,3.75,2.0,4.25,3.25
10599,28710,1,blkTestCatAAp,40,1,1700,Approach,1,1313,Explicit,s.921bc417-be61-4325-846f-a89fd80922b2.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1406,R_XZWcfQXjXrLbN9n,54,Female,Female,Black or African American alone,Absolutely not true,Conservative,33023,Other,bMyW9OZ7jZ,99,3,6.0,4,3,5,5,58,3,3.0,None,2,5,None,1,4,4,3,4,1,4,4,4,2,2,4,5,2,2,2,4,4,2,4,Using the U and M was different.,Thanks for allowing me to participate.,,0.825,white,female,10816.0,12756.0,8464.0,12873.0,0.0,25629.0,19280.0,0.0,1545.142857142857,1275.6,1410.6666666666667,1287.3,0.0,1281.45,1483.076923076923,0.0,3.0,4.25,1.5,4.0,2.75
10632,28810,1,blkTestCatAAp,62,2,1800,Avoid,1,989,Explicit,s.a411e4bc-4e91-43bc-ba15-d7644d4d5da9.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,952,R_w5hvJVye93Z8CD7,34,Female,Female,Black or African American alone,Absolutely not true,Moderate,77302,Other,hsNBfn2HLT,100,1,7.0,3,3,All,3,91,3,4.0,5,5,2,3,5,5,4,4,5,1,3,4,2,3,2,5,5,4,4,4,2,4,4,5,"unless it was a study on racism, im good!",thank you ,,0.95,black,female,7542.0,7771.0,9915.0,8576.0,0.0,16347.0,17457.0,0.0,838.0,863.4444444444445,991.5,857.6,0.0,860.3684210526316,918.7894736842105,0.0,4.25,4.25,3.0,3.75,3.5
10670,28911,1,blkTestCatAAp,64,2,1800,Avoid,1,1029,Explicit,s.340354a1-6fd8-4471-899f-14d157e52156.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1274,R_3kHBwF2DExH25V7,55,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,37206,Other,aVdFnhWJbR,92,3,6.0,4,All,5,All,62,3,5.0,2,None,None,None,4,5,3,2,4,4,4,4,2,4,5,5,3,2,5,3,2,5,4,5,no,not ay this time,,0.775,black,female,5966.0,9330.0,6741.0,7699.0,0.0,17029.0,12707.0,0.0,994.3333333333334,933.0,963.0,962.375,0.0,946.0555555555555,977.4615384615385,0.0,4.5,3.75,4.0,4.0,2.5
10701,29010,1,blkTestCatAAp,37,1,1200,Approach,1,718,Explicit,s.a5412c71-4ff0-4fa7-b5a6-f6bd13f5689d.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,777,R_d3So6iys0fkCufT,29,Male,Male,Black or African American alone,Absolutely not true,Moderate,33713,Information services,zFep7usG4H,50,1,4.0,4,4,4,3,50,1,4.0,5,5,4,4,2,3,2,4,3,4,2,3,2,2,2,3,4,3,4,4,3,2,3,4,"No, I believe everything was made crystal clear.",,,1.0,white,female,5995.0,7402.0,6667.0,7499.0,0.0,14901.0,12662.0,0.0,599.5,740.2,666.7,749.9,0.0,745.05,633.1,0.0,3.25,2.75,3.0,2.75,3.0
10741,29110,1,blkTestCatAAp,61,2,1700,Avoid,1,1041,Explicit,s.4192ee64-2dee-407a-a185-0ac83ee9d746.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1018,R_1rcO0Wj6pCt0OGF,42,Male,Male,Black or African American alone,Absolutely not true,Moderate,28580,Information services,XYvzSEuL2A,98,1,6.0,3,2,4,None,87,1,6.0,3,4,2,3,3,5,4,1,5,5,5,5,1,3,5,4,4,1,5,5,5,5,1,5,No,"Very interesting survey, can't say I have taken one like this before.",,0.85,black,female,10509.0,7003.0,8344.0,9089.0,0.0,16092.0,18853.0,0.0,1050.9,1000.4285714285714,1192.0,908.9,0.0,946.5882352941177,1109.0,0.0,4.5,4.5,4.5,4.75,1.0
10775,29210,1,blkTestCatAAp,47,2,1700,Avoid,1,875,Explicit,s.722f5c10-d367-48e3-a760-42a9f9492fb1.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,794,R_2CTHIZDSsOLrreV,24,Gender Variant-Non-Conforming,Female,Black or African American alone,Absolutely not true,Liberal,28501,Other,9xyCRdBUaD,100,2,7.0,All,None,All,None,20,5,3.0,None,None,None,None,1,4,3,4,2,2,2,3,4,3,1,3,4,4,3,2,2,4,5,3,Were the names supposed to be stereotypical Black/White names? ,No,,0.925,black,male,6324.0,6731.0,6908.0,7526.0,0.0,14257.0,13232.0,0.0,702.6666666666666,747.8888888888889,767.5555555555555,752.6,0.0,750.3684210526316,735.1111111111111,0.0,2.75,3.5,1.5,2.75,4.25
10812,29310,1,blkTestCatAAp,33,1,1200,Approach,1,661,Explicit,s.410ed5b1-2cd0-4a15-8f26-74f448354002.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1248,R_bO4P6oCnChVpbDX,22,Female,Female,Black or African American alone,Absolutely not true,Moderate,76131,Prefer not to say,dA8XHMDtST,65,4,4.0,5,3,4,5,40,4,3.0,4,2,None,None,3,4,3,2,4,2,3,4,2,2,2,4,4,2,3,3,3,5,4,4,No,No,,0.95,white,male,9296.0,7230.0,8019.0,8048.0,0.0,15278.0,17315.0,0.0,929.6,723.0,1002.375,804.8,0.0,763.9,961.9444444444445,0.0,3.25,4.0,2.5,3.5,2.5
10850,29410,1,blkTestCatAAp,60,2,800,Avoid,1,669,Explicit,s.061ca878-5915-4c63-93cc-d4da016d01af.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,830,R_5mpE7F6rxGvoC53,23,Female,Female,Black or African American alone,Absolutely not true,Liberal,33065,Other,gBKpwr4T8U,90,2,5.0,2,3,All,None,50,1,4.0,4,4,None,None,1,4,2,4,5,1,2,3,4,3,1,2,4,4,3,1,3,3,4,3,no,no,,1.0,black,female,8896.0,8482.0,8454.0,8494.0,0.0,16976.0,17350.0,0.0,889.6,848.2,845.4,849.4,0.0,848.8,867.5,0.0,3.5,3.0,1.0,2.75,4.0
10890,29510,1,blkTestCatAAp,32,1,1000,Approach,1,693,Explicit,s.773edd64-c83e-4c9e-bf80-8146257e7c62.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1346,R_12GDa3SEtI25XAG,51,Female,Male,Black or African American alone,Absolutely not true,Strongly liberal,23608,Health care,4UweEOV3pv,100,1,7.0,5,3,5,5,51,5,,5,5,5,2,1,5,2,5,4,3,5,3,3,3,1,5,4,4,3,2,4,3,4,3,,,,0.875,white,male,8311.0,7548.0,6824.0,6984.0,0.0,14532.0,15135.0,0.0,1038.875,754.8,974.8571428571429,698.4,0.0,726.6,1009.0,0.0,3.25,3.0,1.75,4.75,4.0
10925,29610,1,blkTestCatAAp,54,2,1400,Avoid,1,2939,Explicit,s.a70c4651-7822-4ef3-b33b-28f91485da8d.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1480,R_RJm6gofEIBG4Y6Z,74,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,68123,Other,4fgWvtH6Sd,91,2,6.0,5,5,5,2,18,2,6.0,5,4,4,5,2,5,2,2,3,3,4,4,2,3,4,4,4,2,4,2,4,4,2,4,nothing was unclear,nothing ,,0.825,black,male,23058.0,12446.0,18914.0,24637.0,0.0,37083.0,41972.0,0.0,2305.8,2489.2,2101.5555555555557,2737.4444444444443,0.0,2648.785714285714,2209.0526315789475,0.0,3.5,3.5,2.75,4.25,2.0
10958,29710,1,blkTestCatAAp,60,2,2000,Avoid,1,2205,Explicit,s.1e9de51a-1d91-421a-8149-3fa837cb4404.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1361,R_2D61UbfchdDg33v,33,Female,Female,Black or African American alone,Absolutely not true,Moderate,20851,Health care,PkteqOB33U,52,3,5.0,4,4,5,4,50,3,6.0,5,4,4,3,3,4,4,2,3,2,4,4,3,3,3,4,2,2,3,2,4,4,4,4,The purpose of the name and race test.,No.,,0.95,black,female,17369.0,20414.0,23416.0,14244.0,0.0,34658.0,40785.0,0.0,1736.9,2551.75,2341.6,1424.4,0.0,1925.4444444444443,2039.25,0.0,3.25,3.5,2.5,4.0,2.75
10996,29810,1,blkTestCatAAp,61,2,800,Avoid,1,930,Explicit,s.77893914-12be-445c-b4a6-2bf0396bcaee.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,857,R_1Hb5FOvuA48noR3,59,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly conservative,2066,Other,EKbqfvOut7,30,1,1.0,None,4,None,None,81,6,6.0,All,5,All,All,2,2,5,3,5,4,2,4,2,4,4,2,4,3,4,4,4,4,4,4,no,no,,0.975,black,female,7173.0,9624.0,7981.0,7995.0,0.0,17619.0,15154.0,0.0,797.0,962.4,798.1,799.5,0.0,880.95,797.578947368421,0.0,4.25,4.25,3.5,2.5,3.0
11035,29910,1,blkTestCatAAp,47,2,1600,Avoid,1,1585,Explicit,s.51badca0-ac35-49c2-bf2e-9b7df2fa77fd.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,909,R_2qvAmiyJak1ZkvR,38,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,93312,Prefer not to say,dHwbfhDx5Z,81,2,5.0,2,2,4,None,82,4,4.0,3,3,4,4,2,4,4,2,3,3,4,4,2,4,2,4,3,2,3,2,4,3,2,5,No.,No.,,0.95,black,male,9241.0,8496.0,9414.0,9915.0,0.0,18411.0,18655.0,0.0,924.1,1062.0,941.4,991.5,0.0,1022.8333333333334,932.75,0.0,3.75,3.5,2.25,4.0,2.0
11073,30010,1,blkTestCatAAp,59,2,800,Avoid,1,1053,Explicit,s.3024a193-0332-48b5-bb59-78ab9781b6c2.txt,Names_ExplicitApproachWhiteBlack,Dr.Dre,Dr.Dre2,1164,R_3hhKamnNhOl4EFL,66,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,31329,Other,HeZL6HRGYV,71,2,4.0,None,None,None,None,75,3,6.0,All,All,All,All,2,4,4,2,4,4,4,4,3,4,3,4,4,3,4,3,5,4,3,5,,I am retired so I don't have any work colleagues.  When I was working I had good relations with my black colleagues.,,0.925,black,female,8067.0,8094.0,7876.0,9208.0,0.0,17302.0,15943.0,0.0,806.7,1011.75,875.1111111111111,920.8,0.0,961.2222222222222,839.1052631578947,0.0,4.25,4.0,3.0,4.25,2.75
